Office,Floor,O-bdg,Lab,L-bdg,Status,GROUP,MEMBER,UNIQUE
206,2,Ecology,530,Ecology,Faculty,CC,1,118
309,3,Ecology,135,Snyder,Grad,DD,3,119
415,4,Ecology,430,Ecology,RA,L,6,120
314,3,Ecology,135,Snyder,Faculty,DD,1,121
210,2,Ecology,230,Ecology,Faculty,EE,1,122
503,5,Ecology,440,Ecology,Post-doc,D,3,123
514,5,Ecology,,,Grad,AA,1,124
,,Ecology,430,Ecology,Grad ,L,7,125
209,2,Ecology,,,Grad,Z,1,126
211,2,Ecology,240,Ecology,Grad,G,3,127
411,4,Ecology,430,Ecology,Grad,H,4,128
511,5,Ecology,,,Faculty,GG,1,129
305,3,Ecology,496,BioSci,Grad,BB,2,130
100C,1,Ecology,224,Snyder,Faculty,HH,1,131
305,3,Ecology,496,BioSci,Grad,BB,3,132
406,4,Ecology,,Ecology,Post-doc,M,4,133
407,4,Ecology,,,Grad,F,1,134
313,3,Ecology,224,Snyder,Grad,HH,6,135
516,5,Ecology,340,Ecology,Faculty,O,4,136
209,2,Ecology,240,Ecology,Grad,X,3,137
213,2,Ecology,,,Grad,V,4,138
213,2,Ecology,251,Cargill,Grad,Y,6,138
509,5,Ecology,440,Ecology,Grad,D,2,139
209,2,Ecology,240,Ecology,Grad,G,4,140
302,3,Ecology,,,Faculty,II,1,141
409,4,Ecology,430,Ecology,Grad,L,3,142
416,4,Ecology,,,Staff,Da,2,143
313,3,Ecology,135,Snyder,Grad,DD,4,144
117,1,Ecology,230,Ecology,Grad ,B,5,145
513,5,Ecology,,,Postdoc,R,5,146
310,3,Ecology,330,Ecology,Faculty,JJ,1,147
